Class,Method Name,Arg/Ret/Var,Variable Name,Inferred Type,Original Type,Exact (E) / Up to Parameter (P) / Got Type (T) / None (N),Solution Source,Source Code
TZInfo::LinkedTimezone,initialize,Arg,info,[ link_to_identifier: () -> { { TZInfo::LinkedTimezone#initialize arg: info }#link_to_identifier call_ret: ret } ],TZInfo::DataSources::LinkedTimezoneInfo,TS,Constraints,"def initialize(info)
      super
      @linked_timezone = Timezone.get(info.link_to_identifier)
    end"
TZInfo::LinkedTimezone,initialize,Ret,"",self,self,E,,"def initialize(info)
      super
      @linked_timezone = Timezone.get(info.link_to_identifier)
    end"
TZInfo::LinkedTimezone,period_for,Arg,time,Number,Object,E,Twin,"def period_for(time)
      @linked_timezone.period_for(time)
    end"
TZInfo::LinkedTimezone,period_for,Ret,"",TZInfo::TransitionsTimezonePeriod,TimezonePeriod,E,Twin,"def period_for(time)
      @linked_timezone.period_for(time)
    end"
TZInfo::LinkedTimezone,periods_for_local,Arg,local_time,Number,Object,E,Twin,"def periods_for_local(local_time)
      @linked_timezone.periods_for_local(local_time)
    end"
TZInfo::LinkedTimezone,periods_for_local,Ret,"",Array<{ TZInfo::DataSources::ConstantOffsetDataTimezoneInfo#transitions_up_to array_param: array_param_#<Parser::Source::Map::Collection:0x00007fc6fb30ea20> }>,Array<TimezonePeriod>,P,Twin,"def periods_for_local(local_time)
      @linked_timezone.periods_for_local(local_time)
    end"
TZInfo::LinkedTimezone,transitions_up_to,Arg,to,TZInfo::TimezoneOffset,Object,E,Twin,"def transitions_up_to(to, from = nil)
      @linked_timezone.transitions_up_to(to, from)
    end"
TZInfo::LinkedTimezone,transitions_up_to,Arg,from,?TZInfo::TimezoneOffset,Object,E,Constraints,"def transitions_up_to(to, from = nil)
      @linked_timezone.transitions_up_to(to, from)
    end"
TZInfo::LinkedTimezone,transitions_up_to,Ret,"",Array<{ TZInfo::DataSources::ConstantOffsetDataTimezoneInfo#transitions_up_to array_param: array_param_#<Parser::Source::Map::Collection:0x00007fc6fb30ea20> }>,Array<TimezoneTransition>,P,Twin,"def transitions_up_to(to, from = nil)
      @linked_timezone.transitions_up_to(to, from)
    end"
TZInfo::LinkedTimezone,canonical_zone,Ret,"",String,Timezone,T,Twin,"def canonical_zone
      @linked_timezone.canonical_zone
    end"
TZInfo::TransitionsTimezonePeriod,initialize,Arg,start_transition,TZInfo::TimezoneTransition,TimezoneTransition,E,Constraints,"def initialize(start_transition, end_transition)
      if start_transition
        super(start_transition.offset)
      elsif end_transition
        super(end_transition.previous_offset)
      else
        raise ArgumentError, 'At least one of start_transition and end_transition must be specified'
      end

      @start_transition = start_transition
      @end_transition = end_transition
    end"
TZInfo::TransitionsTimezonePeriod,initialize,Arg,end_transition,TZInfo::TimezoneTransition,TimezoneTransition,E,Constraints,"def initialize(start_transition, end_transition)
      if start_transition
        super(start_transition.offset)
      elsif end_transition
        super(end_transition.previous_offset)
      else
        raise ArgumentError, 'At least one of start_transition and end_transition must be specified'
      end

      @start_transition = start_transition
      @end_transition = end_transition
    end"
TZInfo::TransitionsTimezonePeriod,initialize,Ret,"",self,self,E,,"def initialize(start_transition, end_transition)
      if start_transition
        super(start_transition.offset)
      elsif end_transition
        super(end_transition.previous_offset)
      else
        raise ArgumentError, 'At least one of start_transition and end_transition must be specified'
      end

      @start_transition = start_transition
      @end_transition = end_transition
    end"
TZInfo::TransitionsTimezonePeriod,==,Arg,p,([ end_transition: () -> { { TZInfo::TransitionsTimezonePeriod#== arg: p }#end_transition call_ret: ret } ] and [ kind_of?: (Class) -> { { TZInfo::TransitionsTimezonePeriod#== arg: p }#kind_of? call_ret: ret } ] and [ start_transition: () -> { { TZInfo::TransitionsTimezonePeriod#== arg: p }#start_transition call_ret: ret } ]),Object,TS,Constraints,"def ==(p)
      p.kind_of?(TransitionsTimezonePeriod) && start_transition == p.start_transition && end_transition == p.end_transition
    end"
TZInfo::TransitionsTimezonePeriod,==,Ret,"",(false or true),(false or true),E,Constraints,"def ==(p)
      p.kind_of?(TransitionsTimezonePeriod) && start_transition == p.start_transition && end_transition == p.end_transition
    end"
TZInfo::TransitionsTimezonePeriod,hash,Ret,"",Number,Number,E,Constraints,"def hash
      [@start_transition, @end_transition].hash
    end"
TZInfo::TransitionsTimezonePeriod,inspect,Ret,"",String,String,E,Constraints,"def inspect
      ""#<#{self.class}: @start_transition=#{@start_transition.inspect}, @end_transition=#{@end_transition.inspect}>""
    end"
TZInfo::TimezoneOffset,initialize,Arg,base_utc_offset,Number,Number,E,Constraints,"def initialize(base_utc_offset, std_offset, abbreviation)
      @base_utc_offset = base_utc_offset
      @std_offset = std_offset
      @abbreviation = abbreviation.freeze

      @observed_utc_offset = @base_utc_offset + @std_offset
    end"
TZInfo::TimezoneOffset,initialize,Arg,std_offset,Number,Number,E,Constraints,"def initialize(base_utc_offset, std_offset, abbreviation)
      @base_utc_offset = base_utc_offset
      @std_offset = std_offset
      @abbreviation = abbreviation.freeze

      @observed_utc_offset = @base_utc_offset + @std_offset
    end"
TZInfo::TimezoneOffset,initialize,Arg,abbreviation,String,String,E,Twin,"def initialize(base_utc_offset, std_offset, abbreviation)
      @base_utc_offset = base_utc_offset
      @std_offset = std_offset
      @abbreviation = abbreviation.freeze

      @observed_utc_offset = @base_utc_offset + @std_offset
    end"
TZInfo::TimezoneOffset,initialize,Ret,"",self,self,E,,"def initialize(base_utc_offset, std_offset, abbreviation)
      @base_utc_offset = base_utc_offset
      @std_offset = std_offset
      @abbreviation = abbreviation.freeze

      @observed_utc_offset = @base_utc_offset + @std_offset
    end"
TZInfo::TimezoneOffset,dst?,Ret,"",(false or true),(false or true),E,Constraints,"def dst?
      @std_offset != 0
    end"
TZInfo::TimezoneOffset,==,Arg,toi,([ abbreviation: () -> { { TZInfo::TimezoneOffset#== arg: toi }#abbreviation call_ret: ret } ] and [ base_utc_offset: () -> { { TZInfo::TimezoneOffset#== arg: toi }#base_utc_offset call_ret: ret } ] and [ kind_of?: (Class) -> { { TZInfo::TimezoneOffset#== arg: toi }#kind_of? call_ret: ret } ] and [ std_offset: () -> { { TZInfo::TimezoneOffset#== arg: toi }#std_offset call_ret: ret } ]),Object,TS,Constraints,"def ==(toi)
      toi.kind_of?(TimezoneOffset) &&
        base_utc_offset == toi.base_utc_offset && std_offset == toi.std_offset && abbreviation == toi.abbreviation
    end"
TZInfo::TimezoneOffset,==,Ret,"",(false or true),(false or true),E,Constraints,"def ==(toi)
      toi.kind_of?(TimezoneOffset) &&
        base_utc_offset == toi.base_utc_offset && std_offset == toi.std_offset && abbreviation == toi.abbreviation
    end"
TZInfo::TimezoneOffset,eql?,Arg,toi,([ abbreviation: () -> { { TZInfo::TimezoneOffset#== arg: toi }#abbreviation call_ret: ret } ] and [ base_utc_offset: () -> { { TZInfo::TimezoneOffset#== arg: toi }#base_utc_offset call_ret: ret } ] and [ kind_of?: (Class) -> { { TZInfo::TimezoneOffset#== arg: toi }#kind_of? call_ret: ret } ] and [ std_offset: () -> { { TZInfo::TimezoneOffset#== arg: toi }#std_offset call_ret: ret } ]),Object,TS,Constraints,"def eql?(toi)
      self == toi
    end"
TZInfo::TimezoneOffset,eql?,Ret,"",(false or true),(false or true),E,Constraints,"def eql?(toi)
      self == toi
    end"
TZInfo::TimezoneOffset,hash,Ret,"",Number,Number,E,Constraints,"def hash
      [@base_utc_offset, @std_offset, @abbreviation].hash
    end"
TZInfo::TimezoneOffset,inspect,Ret,"",String,String,E,Constraints,"def inspect
      ""#<#{self.class}: @base_utc_offset=#{@base_utc_offset}, @std_offset=#{@std_offset}, @abbreviation=#{@abbreviation}>""
    end"
[s]TZInfo::Timezone,default_dst=,Arg,value,([ !: () -> { { [s]TZInfo::Timezone#default_dst= arg: value }#! call_ret: ret } ] and [ nil?: () -> { { [s]TZInfo::Timezone#default_dst= arg: value }#nil? call_ret: ret } ]),(false or true),TS,Constraints,"def default_dst=(value)
        @@default_dst = value.nil? ? nil : !!value
      end"
[s]TZInfo::Timezone,default_dst,Ret,"",Array<TZInfo::CountryTimezone>,(false or true),T,Constraints,"def default_dst
        @@default_dst
      end"
[s]TZInfo::Timezone,get,Arg,identifier,TZInfo::TimezoneOffset,String,T,Twin,"def get(identifier)
        data_source.get_timezone_info(identifier).create_timezone
      end"
[s]TZInfo::Timezone,get,Ret,"",{ [s]TZInfo::Timezone#get ret: ret },Timezone,N,,"def get(identifier)
        data_source.get_timezone_info(identifier).create_timezone
      end"
[s]TZInfo::Timezone,get_proxy,Arg,identifier,TZInfo::TimezoneOffset,String,T,Constraints,"def get_proxy(identifier)
        TimezoneProxy.new(identifier)
      end"
[s]TZInfo::Timezone,get_proxy,Ret,"",TZInfo::TimezoneProxy,TimezoneProxy,E,Constraints,"def get_proxy(identifier)
        TimezoneProxy.new(identifier)
      end"
[s]TZInfo::Timezone,all,Ret,"",Number,Array<Timezone>,T,Twin,"def all
        get_proxies(all_identifiers)
      end"
[s]TZInfo::Timezone,all_identifiers,Ret,"",{ [s]TZInfo::Timezone#all_identifiers ret: ret },Array<String>,N,,"def all_identifiers
        data_source.timezone_identifiers
      end"
[s]TZInfo::Timezone,all_data_zones,Ret,"",Array<{ TZInfo::Format2::TimezoneIndexDefiner#initialize array_param: array_param_#<Parser::Source::Map::Collection:0x00007fc6fa676bc8> }>,Array<Timezone>,P,Twin,"def all_data_zones
        get_proxies(all_data_zone_identifiers)
      end"
[s]TZInfo::Timezone,all_data_zone_identifiers,Ret,"",{ [s]TZInfo::Timezone#all_data_zone_identifiers ret: ret },Array<String>,N,,"def all_data_zone_identifiers
        data_source.data_timezone_identifiers
      end"
[s]TZInfo::Timezone,all_linked_zones,Ret,"",Array<{ TZInfo::Format2::TimezoneIndexDefiner#initialize array_param: array_param_#<Parser::Source::Map::Collection:0x00007fc6fa676bc8> }>,Array<Timezone>,P,Twin,"def all_linked_zones
        get_proxies(all_linked_zone_identifiers)
      end"
[s]TZInfo::Timezone,all_linked_zone_identifiers,Ret,"",{ [s]TZInfo::Timezone#all_linked_zone_identifiers ret: ret },Array<String>,N,,"def all_linked_zone_identifiers
        data_source.linked_timezone_identifiers
      end"
[s]TZInfo::Timezone,all_country_zones,Ret,"",Number,Array<Timezone>,T,Twin,"def all_country_zones
        Country.all.map(&:zones).flatten.uniq
      end"
[s]TZInfo::Timezone,all_country_zone_identifiers,Ret,"",Number,Array<String>,T,Twin,"def all_country_zone_identifiers
        Country.all.map(&:zone_identifiers).flatten.uniq
      end"
[s]TZInfo::Timezone,get_proxies,Arg,identifiers,[ collect: () {({ { [s]TZInfo::Timezone#get_proxies arg: identifiers }#collect block_arg: identifier }) -> { { [s]TZInfo::Timezone#get_proxies arg: identifiers }#collect block_ret: block_ret }} -> { { [s]TZInfo::Timezone#get_proxies arg: identifiers }#collect call_ret: ret } ],Enumerable<String>,TS,Constraints,"def get_proxies(identifiers)
        identifiers.collect {|identifier| get_proxy(identifier)}
      end"
[s]TZInfo::Timezone,get_proxies,Ret,"",{ [s]TZInfo::Timezone#get_proxies ret: ret },Array<TimezoneProxy>,N,,"def get_proxies(identifiers)
        identifiers.collect {|identifier| get_proxy(identifier)}
      end"
[s]TZInfo::Timezone,data_source,Ret,"",(TZInfo::DataSources::RubyDataSource or TZInfo::DataSources::ZoneinfoDataSource),DataSource,E,Constraints,"def data_source
        DataSource.get
      end"
TZInfo::Timezone,identifier,Ret,"",String,String,E,Twin,"def identifier
      raise_unknown_timezone
    end"
TZInfo::Timezone,name,Ret,"",String,String,E,Constraints,"def name
      # Don't use alias, as identifier gets overridden.
      identifier
    end"
TZInfo::Timezone,to_s,Ret,"",String,String,E,Constraints,"def to_s
      friendly_identifier
    end"
TZInfo::Timezone,inspect,Ret,"",String,String,E,Constraints,"def inspect
      ""#<#{self.class}: #{identifier}>""
    end"
TZInfo::Timezone,friendly_identifier,Arg,skip_first_part,?{ TZInfo::Timezone#friendly_identifier arg: skip_first_part },(false or true),N,,"def friendly_identifier(skip_first_part = false)
      id = identifier
      id = id.encode(Encoding::UTF_8) unless id.encoding.ascii_compatible?
      parts = id.split('/')
      if parts.empty?
        # shouldn't happen
        identifier
      elsif parts.length == 1
        parts[0]
      else
        prefix = skip_first_part ? nil : ""#{parts[0]} - ""

        parts = parts.drop(1).map do |part|
          part.gsub!(/_/, ' ')

          if part.index(/[a-z]/)
            # Missing a space if a lower case followed by an upper case and the
            # name isn't McXxxx.
            part.gsub!(/([^M][a-z])([A-Z])/, '\1 \2')
            part.gsub!(/([M][a-bd-z])([A-Z])/, '\1 \2')

            # Missing an apostrophe if two consecutive upper case characters.
            part.gsub!(/([A-Z])([A-Z])/, '\1\'\2')
          end

          part
        end

        ""#{prefix}#{parts.reverse.join(', ')}""
      end
    end"
TZInfo::Timezone,friendly_identifier,Ret,"",String,String,E,Constraints,"def friendly_identifier(skip_first_part = false)
      id = identifier
      id = id.encode(Encoding::UTF_8) unless id.encoding.ascii_compatible?
      parts = id.split('/')
      if parts.empty?
        # shouldn't happen
        identifier
      elsif parts.length == 1
        parts[0]
      else
        prefix = skip_first_part ? nil : ""#{parts[0]} - ""

        parts = parts.drop(1).map do |part|
          part.gsub!(/_/, ' ')

          if part.index(/[a-z]/)
            # Missing a space if a lower case followed by an upper case and the
            # name isn't McXxxx.
            part.gsub!(/([^M][a-z])([A-Z])/, '\1 \2')
            part.gsub!(/([M][a-bd-z])([A-Z])/, '\1 \2')

            # Missing an apostrophe if two consecutive upper case characters.
            part.gsub!(/([A-Z])([A-Z])/, '\1\'\2')
          end

          part
        end

        ""#{prefix}#{parts.reverse.join(', ')}""
      end
    end"
TZInfo::Timezone,period_for,Arg,time,{ TZInfo::Timezone#period_for arg: time },Object,N,,"def period_for(time)
      raise_unknown_timezone
    end"
TZInfo::Timezone,period_for,Ret,"",TZInfo::OffsetTimezonePeriod,TimezonePeriod,E,Twin,"def period_for(time)
      raise_unknown_timezone
    end"
TZInfo::Timezone,periods_for_local,Arg,local_time,{ TZInfo::Timezone#periods_for_local arg: local_time },Object,N,,"def periods_for_local(local_time)
      raise_unknown_timezone
    end"
TZInfo::Timezone,periods_for_local,Ret,"",{ TZInfo::Timezone#periods_for_local ret: ret },Array<TimezonePeriod>,N,,"def periods_for_local(local_time)
      raise_unknown_timezone
    end"
TZInfo::Timezone,transitions_up_to,Arg,to,TZInfo::TimezoneOffset,Object,E,Twin,"def transitions_up_to(to, from = nil)
      raise_unknown_timezone
    end"
TZInfo::Timezone,transitions_up_to,Arg,from,?TZInfo::TimezoneOffset,Object,E,Constraints,"def transitions_up_to(to, from = nil)
      raise_unknown_timezone
    end"
TZInfo::Timezone,transitions_up_to,Ret,"",String,Array<TimezoneTransition>,T,Twin,"def transitions_up_to(to, from = nil)
      raise_unknown_timezone
    end"
TZInfo::Timezone,canonical_zone,Ret,"",{ TZInfo::Timezone#canonical_zone ret: ret },Timezone,N,,"def canonical_zone
      raise_unknown_timezone
    end"
TZInfo::Timezone,period_for_utc,Arg,utc_time,([ respond_to?: (:subsec) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:to_i) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:utc_offset) -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#respond_to? call_ret: ret } ] and [ to_i: () -> Number ] and [ utc_offset: () -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#utc_offset call_ret: ret } ]),Object,TS,Constraints,"def period_for_utc(utc_time)
      raise ArgumentError, 'utc_time must be specified' unless utc_time
      period_for(Timestamp.for(utc_time, :treat_as_utc))
    end"
TZInfo::Timezone,period_for_utc,Ret,"",TZInfo::OffsetTimezonePeriod,TimezonePeriod,E,Constraints,"def period_for_utc(utc_time)
      raise ArgumentError, 'utc_time must be specified' unless utc_time
      period_for(Timestamp.for(utc_time, :treat_as_utc))
    end"
TZInfo::Timezone,period_for_local,Arg,local_time,([ respond_to?: (:subsec) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:to_i) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:utc_offset) -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#respond_to? call_ret: ret } ] and [ strftime: (String) -> { { TZInfo::Timezone#period_for_local arg: local_time }#strftime call_ret: ret } ] and [ to_i: () -> Number ] and [ utc_offset: () -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#utc_offset call_ret: ret } ]),Object,TS,Constraints,"def period_for_local(local_time, dst = Timezone.default_dst)
      raise ArgumentError, 'local_time must be specified' unless local_time
      local_time = Timestamp.for(local_time, :ignore)
      results = periods_for_local(local_time)

      if results.empty?
        raise PeriodNotFound, ""#{local_time.strftime('%Y-%m-%d %H:%M:%S')} is an invalid local time.""
      elsif results.size < 2
        results.first
      else
        # ambiguous result try to resolve

        if !dst.nil?
          matches = results.find_all {|period| period.dst? == dst}
          results = matches if !matches.empty?
        end

        if results.size < 2
          results.first
        else
          # still ambiguous, try the block

          if block_given?
            results = yield results
          end

          if results.is_a?(TimezonePeriod)
            results
          elsif results && results.size == 1
            results.first
          else
            raise AmbiguousTime, ""#{local_time.strftime('%Y-%m-%d %H:%M:%S')} is an ambiguous local time.""
          end
        end
      end
    end"
TZInfo::Timezone,period_for_local,Arg,dst,?Array<TZInfo::CountryTimezone>,(false or true),T,Constraints,"def period_for_local(local_time, dst = Timezone.default_dst)
      raise ArgumentError, 'local_time must be specified' unless local_time
      local_time = Timestamp.for(local_time, :ignore)
      results = periods_for_local(local_time)

      if results.empty?
        raise PeriodNotFound, ""#{local_time.strftime('%Y-%m-%d %H:%M:%S')} is an invalid local time.""
      elsif results.size < 2
        results.first
      else
        # ambiguous result try to resolve

        if !dst.nil?
          matches = results.find_all {|period| period.dst? == dst}
          results = matches if !matches.empty?
        end

        if results.size < 2
          results.first
        else
          # still ambiguous, try the block

          if block_given?
            results = yield results
          end

          if results.is_a?(TimezonePeriod)
            results
          elsif results && results.size == 1
            results.first
          else
            raise AmbiguousTime, ""#{local_time.strftime('%Y-%m-%d %H:%M:%S')} is an ambiguous local time.""
          end
        end
      end
    end"
TZInfo::Timezone,period_for_local,Ret,"",TZInfo::OffsetTimezonePeriod,TimezonePeriod,E,Twin,"def period_for_local(local_time, dst = Timezone.default_dst)
      raise ArgumentError, 'local_time must be specified' unless local_time
      local_time = Timestamp.for(local_time, :ignore)
      results = periods_for_local(local_time)

      if results.empty?
        raise PeriodNotFound, ""#{local_time.strftime('%Y-%m-%d %H:%M:%S')} is an invalid local time.""
      elsif results.size < 2
        results.first
      else
        # ambiguous result try to resolve

        if !dst.nil?
          matches = results.find_all {|period| period.dst? == dst}
          results = matches if !matches.empty?
        end

        if results.size < 2
          results.first
        else
          # still ambiguous, try the block

          if block_given?
            results = yield results
          end

          if results.is_a?(TimezonePeriod)
            results
          elsif results && results.size == 1
            results.first
          else
            raise AmbiguousTime, ""#{local_time.strftime('%Y-%m-%d %H:%M:%S')} is an ambiguous local time.""
          end
        end
      end
    end"
TZInfo::Timezone,to_local,Arg,time,([ respond_to?: (:subsec) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:to_i) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:utc_offset) -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#respond_to? call_ret: ret } ] and [ to_i: () -> Number ] and [ utc_offset: () -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#utc_offset call_ret: ret } ]),Object,TS,Constraints,"def to_local(time)
      raise ArgumentError, 'time must be specified' unless time

      Timestamp.for(time) do |ts|
        TimestampWithOffset.set_timezone_offset(ts, period_for(ts).offset)
      end
    end"
TZInfo::Timezone,to_local,Ret,"",TZInfo::Timestamp,Object,E,Constraints,"def to_local(time)
      raise ArgumentError, 'time must be specified' unless time

      Timestamp.for(time) do |ts|
        TimestampWithOffset.set_timezone_offset(ts, period_for(ts).offset)
      end
    end"
TZInfo::Timezone,utc_to_local,Arg,utc_time,([ respond_to?: (:subsec) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:to_i) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:utc_offset) -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#respond_to? call_ret: ret } ] and [ to_i: () -> Number ] and [ utc_offset: () -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#utc_offset call_ret: ret } ]),Object,TS,Constraints,"def utc_to_local(utc_time)
      raise ArgumentError, 'utc_time must be specified' unless utc_time

      Timestamp.for(utc_time, :treat_as_utc) do |ts|
        to_local(ts)
      end
    end"
TZInfo::Timezone,utc_to_local,Ret,"",TZInfo::Timestamp,Object,E,Constraints,"def utc_to_local(utc_time)
      raise ArgumentError, 'utc_time must be specified' unless utc_time

      Timestamp.for(utc_time, :treat_as_utc) do |ts|
        to_local(ts)
      end
    end"
TZInfo::Timezone,local_to_utc,Arg,local_time,([ respond_to?: (:subsec) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:to_i) -> { { [s]TZInfo::Timestamp#is_time_like? arg: value }#respond_to? call_ret: ret } ] and [ respond_to?: (:utc_offset) -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#respond_to? call_ret: ret } ] and [ to_i: () -> Number ] and [ utc_offset: () -> { { [s]TZInfo::Timestamp#for_time_like arg: time_like }#utc_offset call_ret: ret } ]),Object,TS,Constraints,"def local_to_utc(local_time, dst = Timezone.default_dst)
      raise ArgumentError, 'local_time must be specified' unless local_time

      Timestamp.for(local_time, :ignore) do |ts|
        period = if block_given?
          period_for_local(ts, dst) {|periods| yield periods }
        else
          period_for_local(ts, dst)
        end

        ts.add_and_set_utc_offset(-period.observed_utc_offset, :utc)
      end
    end"
TZInfo::Timezone,local_to_utc,Arg,dst,?Array<TZInfo::CountryTimezone>,(false or true),T,Constraints,"def local_to_utc(local_time, dst = Timezone.default_dst)
      raise ArgumentError, 'local_time must be specified' unless local_time

      Timestamp.for(local_time, :ignore) do |ts|
        period = if block_given?
          period_for_local(ts, dst) {|periods| yield periods }
        else
          period_for_local(ts, dst)
        end

        ts.add_and_set_utc_offset(-period.observed_utc_offset, :utc)
      end
    end"
TZInfo::Timezone,local_to_utc,Ret,"",TZInfo::Timestamp,Object,E,Constraints,"def local_to_utc(local_time, dst = Timezone.default_dst)
      raise ArgumentError, 'local_time must be specified' unless local_time

      Timestamp.for(local_time, :ignore) do |ts|
        period = if block_given?
          period_for_local(ts, dst) {|periods| yield periods }
        else
          period_for_local(ts, dst)
        end

        ts.add_and_set_utc_offset(-period.observed_utc_offset, :utc)
      end
    end"
TZInfo::Timezone,local_time,Arg,year,Number,Number,E,Twin,"def local_time(year, month = 1, day = 1, hour = 0, minute = 0, second = 0, sub_second = 0, dst = Timezone.default_dst, &block)
      local_timestamp(year, month, day, hour, minute, second, sub_second, dst, &block).to_time
    end"
TZInfo::Timezone,local_time,Arg,month,?Number,Number,E,Twin,"def local_time(year, month = 1, day = 1, hour = 0, minute = 0, second = 0, sub_second = 0, dst = Timezone.default_dst, &block)
      local_timestamp(year, month, day, hour, minute, second, sub_second, dst, &block).to_time
    end"
TZInfo::Timezone,local_time,Arg,day,?Number,Number,E,Twin,"def local_time(year, month = 1, day = 1, hour = 0, minute = 0, second = 0, sub_second = 0, dst = Timezone.default_dst, &block)
      local_timestamp(year, month, day, hour, minute, second, sub_second, dst, &block).to_time
    end"
TZInfo::Timezone,local_time,Arg,hour,?Number,Number,E,Twin,"def local_time(year, month = 1, day = 1, hour = 0, minute = 0, second = 0, sub_second = 0, dst = Timezone.default_dst, &block)
      local_timestamp(year, month, day, hour, minute, second, sub_second, dst, &block).to_time
    end"
TZInfo::Timezone,local_time,Arg,minute,?Number,Number,E,Twin,"def local_time(year, month = 1, day = 1, hour = 0, minute = 0, second = 0, sub_second = 0, dst = Timezone.default_dst, &block)
      local_timestamp(year, month, day, hour, minute, second, sub_second, dst, &block).to_time
    end"
